Model,Accuracy,Precision_HighRisk,Recall_HighRisk,F1_Score,ROC_AUC
Logistic Regression,0.7738,0.8399,0.7409,0.7873,0.8753
Random Forest (Tuned),0.9418,0.9659,0.9298,0.9475,0.9883
